Iteration,Score
0,2.175328823339608
1,2.0167154262416855
2,1.8754981180544847
3,1.7503150610000069
4,1.6395739154319586
5,1.5416040253172676
6,1.4547865226091083
7,1.3776385210277537
8,1.308855892925369
9,1.2473184456234305
10,1.1920784733638874
11,1.1423365030239816
12,1.0974138471776016
13,1.0567318117881754
14,1.0197903908170654
15,0.9861527959310202
16,0.9554361836640372
17,0.927301996943877
18,0.9014505723059438
19,0.8776166499118488
20,0.8555658905341721
21,0.8350917582513837
22,0.8160121648393687
23,0.7981676439899211
24,0.7814189572433919
25,0.7656437582948854
26,0.7507355111427537
27,0.7366015043858304
28,0.7231601309080615
29,0.7103408859332041
30,0.6980814440340288
31,0.6863270334912238
32,0.6750302473064503
33,0.6641487123535844
34,0.6536457835138009
35,0.6434881484533509
36,0.6336467246568591
37,0.624095962073225
38,0.6148126399156869
39,0.6057763161712887
40,0.5969686699435021
41,0.5883736249118265
42,0.579975992584864
43,0.5717629309132615
44,0.5637225895396822
45,0.5558443391881156
46,0.5481185779774778
47,0.5405366183647208
48,0.5330910379144606
49,0.5257744800279527
50,0.5185806416888272
51,0.5115039709079392
52,0.5045393957820528
53,0.4976819769938502
54,0.49092786360742
55,0.48427310478972024
56,0.477714125854489
57,0.47124816972368655
58,0.4648720987550976
59,0.45858363409300196
60,0.45238045413489053
61,0.4462604200615849
62,0.44022172204897636
63,0.4342625901616467
64,0.42838162650563805
65,0.4225773011022295
66,0.4168485554082188
67,0.41119395903025313
68,0.4056127614981132
69,0.40010384039981656
70,0.3946663767589962
71,0.38929945067015037
72,0.3840024129227511
73,0.3787745550327053
74,0.37361535717616307
75,0.36852393783620385
76,0.3634998531250888
77,0.35854272719640823
78,0.3536517447941753
79,0.34882666449595645
80,0.344066634498377
81,0.33937168923583544
82,0.3347409092607291
83,0.33017405573152286
84,0.3256705154728889
85,0.3212299452656221
86,0.3168518025834093
87,0.31253571207574715
88,0.3082810249085294
89,0.30408760520617156
90,0.29995463477493706
91,0.2958818428958348
92,0.29186847636165336
93,0.28791436563376327
94,0.2840186275267983
95,0.2801810554459775
